trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-185.47482705117426,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-251.13078176498104,"{0: 11, 1: 5, 2: 10, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-134.45953442171356,"{0: 12, 1: 1, 2: 2, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-122.78147403951279,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-132.58020670400586,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-167.20190361091156,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-181.05341746074888,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,16,7.3534928828874655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-151.17040718896382,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-74.63723353884099,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-118.30286607429112,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-78.17934562233404,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-184.93689323148675,"{0: 14, 1: 3, 2: 2, 3: 4, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-51.44943789150087,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-75.12096743860103,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-12.058966142679871,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-78.67383655196845,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,-62.51850384012481,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,-0.52102531294255,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,14.391365328949748,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,1.5001686532970435,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,4,-138.82490508370688,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 4}",1
3,True,"{'a': 0, 'e': 0}",20,5,21.379360313288693,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,15.882688631433698,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-50.02371346657799,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,7,-58.023891638576025,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,12,-37.509889256474295,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,0,23.6615065637045,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,17,19.629536143074198,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,0,41.0978761538127,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
