trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-59.60888285267049,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-83.62234996598963,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-204.2489315960922,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-91.33875687931729,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-20.070311732296968,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-97.27020821182326,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-114.32683946132997,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-113.8169968266175,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-164.09171106389053,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-49.04557658775213,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-48.88421383465474,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,9,-86.991113432774,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",30,0,-90.9103933002597,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-139.76021672135406,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-98.77209386186155,"{0: 9, 1: 7, 2: 1, 3: 3, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",30,0,-42.80482166513507,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-23.164626469971992,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-21.00112907917979,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,0,-181.72890426975889,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-50.87720252130025,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,9,-60.227844709478084,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,0,-250.14434874887374,"{0: 15, 1: 3, 2: 5, 3: 4, 4: 3}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-87.05668430741147,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-131.65258965282501,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",30,0,-237.25977637389286,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-120.87197934687357,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-83.50712321829137,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-68.63922201914077,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-179.25240897311699,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-141.50150207449124,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,0,-91.00143842263469,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-64.9866938155552,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",25,0,-180.77502571957982,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,0,-195.1599140428878,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",25,0,-39.90700664335345,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-130.43976120601798,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",25,0,-105.74680760640256,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",25,0,-82.20462558047436,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",20,0,-128.7428975301528,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",25,0,-167.70393311857103,"{0: 10, 1: 8, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",20,6,-2.159168217169799,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",30,0,-148.63354121284598,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",30,0,-119.14686611713418,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",20,0,-77.97069969812388,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-131.16793559089732,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,0,-110.55572567134207,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-87.1492003817406,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-35.73388720529138,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,10,-139.73198066354448,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 3}",1
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",30,0,-248.10082922840363,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 4}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,0,-129.78258622827812,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",35,0,-180.99763136985953,"{0: 20, 1: 6, 2: 5, 3: 2, 4: 2}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-78.35885044323845,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",30,0,-262.53998701917357,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
