trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-220.3041611371797,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,5,-152.40055109783458,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.54388033623665,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-208.35945478576127,"{0: 19, 1: 3, 2: 9, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.83815943231959,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.41767483456408,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.07935332385506,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.70095576843747,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,8,-36.360116585406296,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,17,-39.218955182492564,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.87527157643814,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.65854526327821,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.10993889423173,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,2,-108.53769685432566,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.1939045541834,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.54901451429683,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.48181713942165,"{0: 7, 1: 6, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.37386903045488,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.9846154768565,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-209.4709117597422,"{0: 17, 1: 3, 2: 11, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,1,-138.54339870759077,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 3}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.09769760295893,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.88327581453221,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.60815773369765,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.92929134509336,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.88671431478517,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.02176875277385,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-191.84369370063888,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.44502006137333,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.9051732018591,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
